countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,26480,Coordination and support services,12711086,607601,5
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,3,Education,34962875,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,4,Emergency Shelter and NFI,34848993,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,6,Food Security,279745504,7407407,3
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,7,Health,46157000,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,26479,Multi-sector,18996729,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,10,Protection,23210305,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,12,Protection - Child Protection,8263501,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,13,Protection - Gender-Based Violence,6718628,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,15,Protection - Mine Action,1974811,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,11,Water Sanitation Hygiene,34716169,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,,Not specified,,,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,2023-01-01,2023-12-31,2023,,Multiple clusters/sectors (shared),,0,
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,26480,Coordination and support services,13310395,4559807,34
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,3,Education,37266934,8334019,22
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,4,Emergency Shelter and NFI,60617187,30689258,51
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,6,Food Security,271144108,220576626,81
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,7,Health,48402400,33308022,69
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,10,Protection,25415107,5246731,21
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,12,Protection - Child Protection,10159839,3944865,39
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,13,Protection - Gender-Based Violence,7948079,3299712,42
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,15,Protection - Mine Action,3619998,1292828,36
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,11,Water Sanitation Hygiene,31988155,20929628,65
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,,Not specified,,58678963,
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,2022-01-01,2022-12-31,2022,,Multiple clusters/sectors (shared),,686216,
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,26513,COVID-19,,244319,
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,1,Camp Coordination / Management,,0,
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,26480,Coordination and support services,10710499,8771898,82
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,3,Education,25302737,18353822,73
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,4,Emergency Shelter and NFI,16873288,9336097,55
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,6,Food Security,262137742,187409130,71
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,7,Health,46388295,28920591,62
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,26479,Multi-sector,,3792127,
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,10,Protection,12290439,6255693,51
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,12,Protection - Child Protection,7644725,5866422,77
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,13,Protection - Gender-Based Violence,7914128,2169585,27
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,15,Protection - Mine Action,1596697,210765,13
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,11,Water Sanitation Hygiene,26708780,7424982,28
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,,Not specified,,50942085,
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,2021-01-01,2021-12-31,2021,,Multiple clusters/sectors (shared),,55523850,
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,26480,Coordination and support services,2813094,,
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,3,Education,8200000,4930837,60
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,4,Emergency Shelter and NFI,19011760,7037622,37
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,6,Food Security,38254314,27555703,72
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,7,Health,10045000,6724461,67
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,10,Protection,450000,194255,43
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,12,Protection - Child Protection,5935000,1028672,17
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,13,Protection - Gender-Based Violence,2450000,327292,13
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,14,"Protection - Housing, Land and Property",55000,,
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,2021-05-27,2021-08-27,2021,15,Protection - Mine Action,725000,800000,110
